Project,CDD,BL FD,New FinishDate,ClientName,Des.Qty,Des.Val (Lakhs),Pr.%WC,Task%WC,Pr.Qty,Pr.Val (Lakhs),Project Budget (Hrs),CompletionStatus,PM
4203-RCAT-500,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,6,₹ 15.96,0,0,6,₹ 16.00,3528,9-On Hold,Varun
4203-RCAT-90,14-02-2019 08:30,14-11-2018 16:30,26-04-2019 22:00,IGCAR,16,₹ 20.96,0,0,16,₹ 21.00,2165,9-On Hold,Varun
4203-RCVC-50-1,14-02-2019 08:30,30-10-2018 08:30,08-01-2019 20:30,IGCAR,1,₹ 1.04,74,0,1,₹ 1.00,43,B-Production in Progress,Varun
4203-RCVC-50-2,14-02-2019 08:30,30-10-2018 08:30,08-01-2019 16:30,IGCAR,1,₹ 1.04,71,0,1,₹ 1.00,43,B-Production in Progress,Varun
4203-RCVC-50-3,14-02-2019 08:30,30-10-2018 08:30,08-01-2019 14:00,IGCAR,1,₹ 1.04,75,0,1,₹ 1.00,43,B-Production in Progress,Varun
4203-RCVC-50-4,14-02-2019 08:30,30-10-2018 08:30,08-01-2019 14:00,IGCAR,1,₹ 1.04,75,0,1,₹ 1.00,43,B-Production in Progress,Varun
4209-A&F,01-10-2018 06:00,0,05-02-2019 16:57,Dangote,2,₹ 88.35,51,0,2,₹ 88.40,9336,B-Production in Progress,Anand
4209-B&G,01-10-2018 06:00,0,20-11-2018 17:30,Dangote,2,₹ 34.89,100,0,2,₹ 34.90,2086,6-QC Completed,Anand
4209-C&H,01-10-2018 06:00,0,20-03-2019 10:30,Dangote,2,₹ 221.48,46,0,2,₹ 221.50,22160,B-Production in Progress,Anand
4209-D&I,01-10-2018 06:00,0,28-12-2018 11:00,Dangote,2,₹ 25.54,100,0,2,₹ 25.50,1450,6-QC Completed,Anand
4209-E&J,01-10-2018 06:00,0,15-12-2018 17:30,Dangote,2,₹ 10.37,99,0,2,₹ 10.40,570,6-QC Completed,Anand
4209-K&L,01-10-2018 06:00,0,18-12-2018 17:30,Dangote,4,₹ 21.82,100,0,4,₹ 21.80,1176,6-QC Completed,Anand
4209-M,01-10-2018 06:00,0,08-01-2019 12:03,Dangote,2,₹ 29.20,91,0,2,₹ 29.20,1560,B-Production in Progress,Anand
4209-N,01-10-2018 06:00,0,08-01-2019 10:45,Dangote,1,₹ 17.01,91,0,1,₹ 17.00,1080,B-Production in Progress,Anand
4209-O,01-10-2018 06:00,0,14-12-2018 17:30,Dangote,2,₹ 15.99,100,0,2,₹ 16.00,952,6-QC Completed,Anand
4209-P,01-10-2018 06:00,0,08-01-2019 14:02,Dangote,2,₹ 27.34,91,0,2,₹ 27.30,1502,B-Production in Progress,Anand
4209-Q,01-10-2018 06:00,0,15-12-2018 12:30,Dangote,2,₹ 21.04,100,0,2,₹ 21.00,1142,6-QC Completed,Anand
4209-R&S,01-10-2018 06:00,0,17-11-2018 17:30,Dangote,2,₹ 11.79,100,0,2,₹ 11.80,518,6-QC Completed,Anand
4220-A1001,26-05-2019 08:00,0,18-01-2019 17:30,Dangote,2,₹ 302.87,95,0,4,₹ 605.70,57103,B-Production in Progress,Anand
4220-A1001,26-05-2019 08:00,0,11-02-2019 17:30,Dangote,2,₹ 302.87,95,0,4,₹ 605.70,57103,B-Production in Progress,Anand
4220-B1003,26-05-2019 06:00,0,31-12-2019 17:30,Dangote,2,₹ 204.50,0,0,2,₹ 204.50,20354,2-Design Completed,Anand
4220-D1006,26-05-2019 08:00,0,27-01-2020 08:44,Dangote,2,₹ 199.53,3,0,2,₹ 199.50,20080,4-Purchase Completed,Anand
4220-E1007,26-05-2019 08:00,0,28-03-2019 17:30,Dangote,2,₹ 304.81,0,0,2,₹ 304.80,24348,4-Purchase Completed,Anand
4220-F1008,26-05-2019 08:00,0,29-06-2019 17:30,Dangote,1,₹ 16.83,0,0,1,₹ 16.80,2053,4-Purchase Completed,Anand
4220-G1009-1,26-05-2019 08:00,0,17-07-2019 17:30,Dangote,2,₹ 92.59,0,0,2,₹ 92.60,9310,4-Purchase Completed,Anand
4220-H1010,26-05-2019 08:00,0,27-03-2019 17:30,Dangote,1,₹ 14.16,13,0,1,₹ 14.20,13494,4-Purchase Completed,Anand
4220-I1011,02-10-2018 08:00,0,28-05-2019 15:00,Dangote,4,₹ 799.30,0,0,4,₹ 799.30,82197,4-Purchase Completed,Anand
4220-J1012,26-05-2019 06:00,0,12-07-2019 17:00,Dangote,4,₹ 600.48,1,0,4,₹ 600.50,77331,4-Purchase Completed,Anand
4220-K1013,26-05-2019 08:00,0,23-08-2019 11:00,Dangote,2,"₹ 1,057.37",0,0,2,"₹ 1,057.40",65261,4-Purchase Completed,Anand
4220-L1014,26-05-2019 08:00,0,18-07-2019 10:28,Dangote,1,₹ 6.40,6,0,1,₹ 6.40,983,4-Purchase Completed,Anand
4220-N1011,26-05-2019 08:00,0,20-07-2019 08:44,Dangote,1,₹ 38.85,0,0,1,₹ 38.90,7561,4-Purchase Completed,Anand
4220-O1011,26-05-2019 08:00,0,24-09-2019 10:44,Dangote,1,₹ 38.26,0,0,1,₹ 38.30,13116,3-PPC Completed,Anand
4221-2403,01-09-2018 08:00,0,31-10-2019 17:30,Dangote,1,₹ 10.66,3,0,1,₹ 10.70,517,2-Design Completed,Anand
4221-7001,01-09-2018 08:00,0,31-10-2019 17:30,Dangote,1,₹ 31.08,29,0,1,₹ 31.10,872,2-Design Completed,Anand
4221-9101,01-09-2018 08:00,06-10-2018 09:58,05-11-2019 17:58,Dangote,1,₹ 48.85,1,0,1,₹ 48.90,425,2-Design Completed,Anand
4224-103,11-06-2018 08:00,31-05-2018 20:30,08-06-2018 20:30,IOCL-EIL,1,₹ 33.03,100,100,1,₹ 35.50,3066,8-Project Completed,Elamaran
4224-309,11-06-2018 08:00,06-06-2018 17:40,08-06-2018 20:40,IOCL-EIL,1,₹ 16.98,100,100,1,₹ 17.00,739,8-Project Completed,Elamaran
4228-010,31-07-2018 08:00,30-06-2018 13:01,09-11-2017 17:00,IOCL-EIL,1,₹ 39.79,97,100,2,₹ 79.60,5040,8-Project Completed,Ethiraj
4228-010,31-07-2018 08:00,20-07-2018 07:40,09-11-2018 15:30,IOCL-EIL,1,₹ 39.79,97,100,2,₹ 79.60,5040,8-Project Completed,Ethiraj
4228-014,31-07-2018 08:00,30-06-2018 13:01,05-11-2018 17:00,IOCL-EIL,1,₹ 11.57,100,100,2,₹ 23.10,1736,8-Project Completed,Ethiraj
4228-014,31-07-2018 08:00,02-07-2018 09:51,05-11-2018 18:30,IOCL-EIL,1,₹ 11.57,100,100,2,₹ 23.10,1736,8-Project Completed,Ethiraj
4228-102,31-07-2018 08:00,17-07-2018 09:00,10-11-2018 17:00,IOCL-EIL,1,₹ 7.24,100,100,1,₹ 7.20,814,8-Project Completed,Ethiraj
4237-A,08-09-2018 08:00,08-11-2018 18:30,30-01-2019 10:50,IOCL-EIL,1,₹ 102.51,85,0,1,₹ 102.50,5670,B-Production in Progress,Ethiraj
4237-B,08-09-2018 08:00,09-08-2018 19:02,21-01-2019 12:00,IOCL-EIL,1,₹ 63.87,88,0,1,₹ 63.90,3100,B-Production in Progress,Ethiraj
4237-C,08-09-2018 08:00,05-12-2018 07:04,21-01-2019 21:24,IOCL-EIL,1,₹ 85.17,88,0,1,₹ 85.20,5070,B-Production in Progress,Ethiraj
4237-D,08-09-2018 08:00,08-08-2018 18:30,14-01-2019 18:30,IOCL-EIL,4,₹ 48.45,85,0,1,₹ 48.50,2320,B-Production in Progress,Ethiraj
4238-49,12-10-2018 08:30,24-09-2018 17:30,12-10-2018 17:30,HPCL,1,₹ 57.65,100,100,1,₹ 57.70,5267,8-Project Completed,Elamaran
4238-7001,12-10-2018 08:30,18-09-2018 13:31,12-10-2018 18:31,HPCL,2,₹ 20.00,100,100,2,₹ 20.00,1234,8-Project Completed,Elamaran
4256-1002,12-03-2019 08:00,08-01-2019 10:30,09-03-2019 18:30,EIL-HPCL,1,₹ 200.78,20,0,1,₹ 200.80,10920,B-Production in Progress,Elamaran
4256-1007,12-03-2019 08:00,29-12-2018 21:30,09-03-2019 14:30,EIL-HPCL,1,₹ 84.72,17,0,1,₹ 84.70,4340,B-Production in Progress,Elamaran
4256-1008,12-03-2019 08:00,14-01-2019 21:30,11-03-2019 13:30,EIL-HPCL,1,₹ 104.05,41,0,1,₹ 104.10,5450,B-Production in Progress,Elamaran
4256-1009,12-03-2019 08:00,31-01-2019 19:30,14-03-2019 11:30,EIL-HPCL,1,₹ 267.21,28,0,1,₹ 267.20,14880,B-Production in Progress,Elamaran
